Flight no.;Type;Airline;Arr. time;Dep. time;Number of arr. passengers;Number of dep. passengers;Number of transit passengers;Total passengers
F101;M;A1;08:00;08:55;35;48;174;257
F102;M;A2;08:15;09:20;129;142;36;307
F103;L;A4;08:30;09:50;132;136;169;437
F104;M;A3;08:45;09:55;97;101;86;284
F105;M;A1;09:00;10:10;106;89;128;323
F106;L;A2;09:10;10:30;206;189;64;459
F107;M;A1;09:15;10:20;72;96;72;240
F108;S;A2;09:30;10:15;41;46;98;185
F109;M;A3;09:40;10:40;128;114;29;271
F110;M;A4;10:00;11:30;154;146;65;365
F111;S;A3;10:05;10:55;49;63;32;144
F112;M;A2;10:20;11:20;143;136;40;319
F113;M;A3;10:30;11:25;98;92;108;298
F114;L;A2;10:35;11:55;246;238;63;547
F115;L;A4;10:55;12:00;182;168;57;407
F116;M;A2;11:00;11:50;118;115;20;253
